txn_id,day,customer_id,time_of_day,product,price_shown,bought
1,1,1956,afternoon,croissant,5.83,0
2,1,2314,morning,muffin,2.63,1
3,1,4820,morning,muffin,2.63,0
4,1,7214,morning,coffee,3.81,1
5,1,3454,afternoon,cookie,2.29,1
6,1,2571,afternoon,matcha,10.57,0
7,1,6089,morning,croissant,5.83,0
8,1,9673,morning,coffee,3.81,1
9,1,5838,morning,coffee,3.81,1
10,1,447,afternoon,matcha,10.57,0
11,1,3960,morning,coffee,3.81,1
12,1,9037,morning,croissant,5.83,0
13,1,6885,afternoon,matcha,10.57,0
14,1,9788,morning,coffee,3.81,1
15,1,1506,morning,coffee,3.81,0
16,1,7524,morning,muffin,2.63,1
17,1,1237,morning,matcha,10.57,0
18,1,2157,morning,muffin,2.63,0
19,1,3940,morning,coffee,3.81,0
20,1,5608,morning,matcha,10.57,0
21,1,4842,morning,coffee,3.81,0
22,1,8753,afternoon,matcha,10.57,0
23,1,9977,morning,coffee,3.81,1
24,1,7164,morning,cookie,2.29,0
25,1,6782,morning,matcha,10.57,0
26,1,2773,afternoon,croissant,5.83,0
27,1,7021,morning,coffee,3.81,1
28,1,5450,afternoon,muffin,2.63,1
29,1,613,morning,muffin,2.63,0
30,1,2242,afternoon,cookie,2.29,1
31,1,8438,morning,coffee,3.81,0
32,1,5204,afternoon,matcha,10.57,0
33,1,8416,morning,coffee,3.81,0
34,1,8368,afternoon,cookie,2.29,0
35,1,2856,afternoon,muffin,2.63,0
36,1,5905,morning,coffee,3.81,0
37,1,1328,morning,coffee,3.81,0
38,1,3210,morning,croissant,5.83,0
39,1,6197,afternoon,matcha,10.57,0
40,1,8879,morning,muffin,2.63,0
41,1,9322,morning,coffee,3.81,0
42,1,8511,morning,croissant,5.83,0
43,1,6525,morning,muffin,2.63,1
44,1,423,afternoon,muffin,2.63,0
45,1,1572,morning,cookie,2.29,0
46,1,1196,afternoon,matcha,10.57,0
47,1,7057,afternoon,muffin,2.63,1
48,1,9337,afternoon,cookie,2.29,0
49,1,7033,afternoon,matcha,10.57,0
50,1,2966,morning,coffee,3.81,1
51,1,6903,afternoon,muffin,2.63,0
52,1,9986,morning,muffin,2.63,1
53,1,3638,afternoon,muffin,2.63,0
54,1,2231,morning,matcha,10.57,0
55,1,8935,morning,coffee,3.81,0
56,1,1018,afternoon,muffin,2.63,0
57,1,4720,afternoon,muffin,2.63,0
58,1,8726,afternoon,muffin,2.63,0
59,1,5845,morning,croissant,5.83,1
60,1,4132,morning,croissant,5.83,0
61,1,9327,afternoon,matcha,10.57,0
62,1,1022,morning,croissant,5.83,1
63,1,7564,afternoon,coffee,3.81,0
64,1,1564,afternoon,cookie,2.29,0
65,1,1183,morning,croissant,5.83,0
66,1,17,morning,coffee,3.81,0
67,1,135,morning,croissant,5.83,0
68,1,1587,morning,coffee,3.81,0
69,1,4217,afternoon,matcha,10.57,0
70,1,2159,afternoon,cookie,2.29,0
71,1,398,morning,croissant,5.83,0
72,1,4716,afternoon,matcha,10.57,0
73,1,617,afternoon,matcha,10.57,0
74,1,3716,afternoon,cookie,2.29,1
75,1,2747,afternoon,croissant,5.83,0
76,1,3184,afternoon,cookie,2.29,0
77,1,6886,afternoon,muffin,2.63,1
78,1,9086,morning,croissant,5.83,1
79,1,9347,morning,coffee,3.81,0
80,1,4339,morning,croissant,5.83,0
81,1,200,afternoon,muffin,2.63,0
82,1,929,morning,coffee,3.81,1
83,1,8105,afternoon,matcha,10.57,0
84,1,2460,morning,coffee,3.81,1
85,1,4782,afternoon,matcha,10.57,0
86,1,2394,afternoon,cookie,2.29,0
87,1,9015,afternoon,coffee,3.81,1
88,1,3674,afternoon,matcha,10.57,0
89,1,8908,afternoon,cookie,2.29,0
90,1,5266,afternoon,cookie,2.29,1
91,1,6204,morning,muffin,2.63,0
92,1,9575,afternoon,cookie,2.29,0
93,1,7281,afternoon,cookie,2.29,0
94,1,3108,morning,matcha,10.57,0
95,1,8116,afternoon,matcha,10.57,0
96,1,9524,morning,croissant,5.83,1
97,1,1227,morning,matcha,10.57,0
98,1,1618,afternoon,matcha,10.57,0
99,1,1960,morning,coffee,3.81,1
100,1,6901,afternoon,cookie,2.29,1
101,1,8823,afternoon,muffin,2.63,0
102,1,8692,morning,coffee,3.81,0
103,1,7583,morning,matcha,10.57,0
104,1,592,morning,coffee,3.81,1
105,1,8232,afternoon,matcha,10.57,0
106,1,3122,afternoon,matcha,10.57,1
107,1,6965,morning,coffee,3.81,0
108,1,3976,morning,croissant,5.83,0
109,1,689,morning,coffee,3.81,1
110,1,95,afternoon,cookie,2.29,0
111,1,7082,morning,matcha,10.57,0
112,1,5314,morning,coffee,3.81,1
113,1,2415,morning,coffee,3.81,0
114,1,920,morning,matcha,10.57,0
115,1,2653,morning,coffee,3.81,0
116,1,5755,morning,coffee,3.81,0
117,1,5478,afternoon,cookie,2.29,0
118,1,2827,afternoon,matcha,10.57,0
119,1,706,morning,coffee,3.81,0
120,1,6422,morning,cookie,2.29,0
121,1,16,morning,coffee,3.81,1
122,1,6523,afternoon,croissant,5.83,0
123,1,7757,morning,croissant,5.83,0
124,1,6737,morning,matcha,10.57,1
125,1,9309,morning,croissant,5.83,0
126,1,1661,morning,coffee,3.81,1
127,1,1405,morning,croissant,5.83,0
128,1,5921,morning,muffin,2.63,0
129,1,8840,afternoon,muffin,2.63,0
130,1,5635,morning,muffin,2.63,0
131,1,2642,morning,coffee,3.81,1
132,1,2015,morning,matcha,10.57,0
133,1,3280,morning,croissant,5.83,0
134,1,1210,morning,coffee,3.81,1
135,1,8197,morning,croissant,5.83,1
136,1,7292,morning,cookie,2.29,0
137,1,8548,morning,croissant,5.83,0
138,1,1528,morning,croissant,5.83,1
139,1,8187,morning,muffin,2.63,1
140,1,6397,afternoon,coffee,3.81,1
141,1,7126,afternoon,cookie,2.29,0
142,1,6665,afternoon,muffin,2.63,0
143,1,5785,morning,coffee,3.81,0
144,1,3009,afternoon,croissant,5.83,0
145,1,3806,afternoon,coffee,3.81,0
146,1,4598,morning,matcha,10.57,0
147,1,1221,morning,matcha,10.57,1
148,1,852,afternoon,cookie,2.29,0
149,1,5228,morning,coffee,3.81,0
150,1,3878,morning,muffin,2.63,1
151,1,5574,afternoon,cookie,2.29,0
152,1,2845,afternoon,coffee,3.81,0
153,1,5087,afternoon,coffee,3.81,0
154,1,4135,afternoon,cookie,2.29,0
155,1,4674,morning,matcha,10.57,0
156,1,9966,afternoon,muffin,2.63,1
157,1,1601,afternoon,croissant,5.83,0
158,1,2002,morning,muffin,2.63,0
159,1,9893,morning,croissant,5.83,0
160,1,566,afternoon,cookie,2.29,0
161,1,2272,afternoon,croissant,5.83,0
162,1,8901,morning,coffee,3.81,1
163,1,9954,morning,croissant,5.83,0
164,1,6249,morning,croissant,5.83,1
165,1,4790,afternoon,cookie,2.29,0
166,1,2608,afternoon,cookie,2.29,0
167,1,949,morning,coffee,3.81,0
168,1,8406,morning,croissant,5.83,0
169,1,8684,morning,cookie,2.29,0
170,1,7759,afternoon,matcha,10.57,0
171,1,9736,morning,croissant,5.83,1
172,1,3797,morning,matcha,10.57,0
173,1,1802,morning,croissant,5.83,1
174,1,6354,morning,coffee,3.81,0
175,1,2535,afternoon,matcha,10.57,1
176,1,9157,morning,croissant,5.83,0
177,1,951,morning,cookie,2.29,0
178,1,6693,afternoon,croissant,5.83,0
179,1,5447,afternoon,croissant,5.83,0
180,1,5892,morning,coffee,3.81,1
181,1,7749,afternoon,coffee,3.81,0
182,1,8771,morning,muffin,2.63,0
183,1,85,morning,coffee,3.81,0
184,1,8744,morning,cookie,2.29,0
185,1,2916,afternoon,cookie,2.29,1
186,1,6699,morning,coffee,3.81,1
187,1,7862,afternoon,coffee,3.81,0
188,1,9286,morning,croissant,5.83,0
189,1,4947,morning,coffee,3.81,1
190,1,7821,afternoon,matcha,10.57,0
191,1,5102,morning,coffee,3.81,0
192,1,7619,morning,croissant,5.83,0
193,1,318,morning,cookie,2.29,0
194,1,2640,afternoon,croissant,5.83,0
195,1,7111,morning,coffee,3.81,1
196,1,8640,afternoon,muffin,2.63,0
197,1,4726,afternoon,croissant,5.83,0
198,1,4160,afternoon,muffin,2.63,0
199,1,753,afternoon,coffee,3.81,1
200,1,5418,afternoon,cookie,2.29,0
201,1,1988,afternoon,cookie,2.29,0
202,1,9792,afternoon,croissant,5.83,0
203,1,7602,afternoon,coffee,3.81,0
204,1,1074,afternoon,coffee,3.81,0
205,1,4554,afternoon,coffee,3.81,0
206,1,846,morning,coffee,3.81,1
207,1,5807,morning,croissant,5.83,0
208,1,9212,afternoon,matcha,10.57,0
209,1,281,morning,coffee,3.81,0
210,1,326,morning,coffee,3.81,0
211,1,7548,morning,coffee,3.81,1
212,1,1449,morning,muffin,2.63,0
213,1,4042,morning,cookie,2.29,0
214,1,1321,afternoon,cookie,2.29,1
215,1,2455,afternoon,matcha,10.57,0
216,1,5048,morning,croissant,5.83,1
217,1,1028,morning,croissant,5.83,1
218,1,6338,morning,croissant,5.83,0
219,1,7112,afternoon,coffee,3.81,1
220,1,8483,afternoon,croissant,5.83,1
221,1,8267,afternoon,croissant,5.83,0
222,1,8595,morning,coffee,3.81,0
223,1,7472,afternoon,muffin,2.63,1
224,1,7431,afternoon,croissant,5.83,0
225,1,191,afternoon,matcha,10.57,0
226,1,2961,morning,cookie,2.29,0
227,1,7525,afternoon,matcha,10.57,0
228,1,4740,morning,muffin,2.63,0
229,1,2673,morning,croissant,5.83,0
230,1,7209,morning,coffee,3.81,0
231,1,1105,morning,cookie,2.29,0
232,1,6076,afternoon,muffin,2.63,0
233,1,9064,afternoon,matcha,10.57,1
234,1,8108,afternoon,muffin,2.63,0
235,1,121,morning,coffee,3.81,0
236,1,6234,afternoon,cookie,2.29,0
237,1,1401,afternoon,matcha,10.57,0
238,1,1760,morning,croissant,5.83,0
239,1,1145,afternoon,coffee,3.81,0
240,1,955,afternoon,croissant,5.83,0
241,1,5051,afternoon,cookie,2.29,0
242,1,1926,morning,coffee,3.81,1
243,1,7899,afternoon,muffin,2.63,1
244,1,7963,afternoon,croissant,5.83,0
245,1,3414,morning,coffee,3.81,1
246,1,6125,afternoon,muffin,2.63,0
247,1,2932,afternoon,muffin,2.63,0
248,1,2732,morning,cookie,2.29,0
249,1,8204,afternoon,cookie,2.29,0
250,1,5446,afternoon,coffee,3.81,1
251,1,6019,morning,muffin,2.63,0
252,1,511,afternoon,croissant,5.83,0
253,1,1751,morning,matcha,10.57,0
254,1,9964,afternoon,muffin,2.63,1
255,1,8581,afternoon,coffee,3.81,0
256,1,1338,afternoon,muffin,2.63,1
257,1,8787,afternoon,muffin,2.63,0
258,1,8760,morning,cookie,2.29,0
259,1,5452,morning,muffin,2.63,0
260,1,1,afternoon,muffin,2.63,1
261,1,1779,afternoon,muffin,2.63,0
262,1,5004,afternoon,matcha,10.57,0
263,1,4856,afternoon,coffee,3.81,0
264,1,4839,morning,muffin,2.63,0
265,1,2643,afternoon,croissant,5.83,0
266,1,3894,morning,coffee,3.81,1
267,1,4290,morning,croissant,5.83,0
268,1,2436,morning,muffin,2.63,0
269,1,6002,morning,croissant,5.83,0
270,1,2497,afternoon,matcha,10.57,0
271,1,3523,afternoon,coffee,3.81,1
272,1,8514,morning,croissant,5.83,1
273,1,7096,afternoon,croissant,5.83,0
274,1,6940,morning,croissant,5.83,0
275,1,337,afternoon,muffin,2.63,0
276,1,6554,afternoon,matcha,10.57,0
